District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
07. Chamberí;     072. Arapiles;2.668;3.498;4.010;4.369;4.547;5.043;5.125;4.498;4.434;4.303;3.898;3.417;3.234;3.479;3.629;3.885;4.530;4.855
07. Chamberí;     073. Trafalgar;2.920;3.511;4.107;4.501;5.037;5.224;5.401;4.971;4.731;4.524;4.068;3.705;3.421;3.503;3.782;4.047;4.855;5.387
07. Chamberí;     074. Almagro;3.308;4.247;5.057;5.141;5.727;6.164;6.191;6.243;6.275;5.786;5.611;4.908;4.470;4.527;4.460;4.989;5.676;6.175
07. Chamberí;     075. Ríos Rosas;2.939;3.678;4.297;4.403;4.406;4.966;5.243;4.731;4.629;4.408;4.085;3.589;3.403;3.417;3.643;3.920;4.726;5.044
07. Chamberí;     076. Vallehermoso;3.016;3.191;4.201;4.445;4.671;4.673;5.066;4.756;4.473;4.413;3.951;3.588;3.353;3.317;3.353;3.542;4.169;4.341
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;;;;;;;
08. Fuencarral-El Pardo;     08. Fuencarral-El Pardo;2.325;3.002;3.511;3.666;3.843;4.137;4.099;3.863;3.739;3.696;3.434;3.032;2.805;2.656;2.734;2.824;3.174;3.463
08. Fuencarral-El Pardo;     081. El Pardo;2.552;-;2.171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08. Fuencarral-El Pardo;     082. Fuentelarreina;2.499;-;2.574;-;-;-;4.271;-;-;-;-;3.301;2.845;2.731;2.770;3.004;-;-
08. Fuencarral-El Pardo;     083. Peñagrande;2.086;2.401;3.135;3.606;3.793;4.152;4.075;3.704;3.667;3.573;3.326;2.919;2.867;2.634;2.681;2.751;3.341;3.412
08. Fuencarral-El Pardo;     084. Pilar;2.198;2.944;3.399;3.679;3.696;3.932;3.957;3.495;3.435;3.323;3.011;2.573;2.283;2.174;2.214;2.494;2.786;3.234
08. Fuencarral-El Pardo;     085. La Paz;2.617;3.101;3.550;3.645;3.884;4.244;4.242;4.114;3.916;3.879;3.572;3.111;3.079;2.951;2.930;2.960;3.429;3.549
08. Fuencarral-El Pardo;     086. Valverde;2.176;2.472;3.323;3.487;3.663;3.928;3.912;3.511;-;-;-;-;-;-;-;-;-;-
08. Fuencarral-El Pardo;     086. Valverde (Tres Olivos);-;-;-;-;-;-;-;-;2.966;2.874;2.612;2.255;2.127;1.770;1.921;1.872;2.132;2.476
08. Fuencarral-El Pardo;     086. Valverde (PAU Las Tablas);-;-;-;-;-;-;-;-;3.860;4.081;3.903;3.479;-;-;3.312;3.478;3.846;4.224
